ts,wh,
1650505500,2071,2022-04-21 01:45
1650506400,1570,2022-04-21 02:00
1650507300,1738,2022-04-21 02:15
1650508200,1881,2022-04-21 02:30
1650509100,1985,2022-04-21 02:45
1650510000,2199,2022-04-21 03:00
1650510900,3205,2022-04-21 03:15
1650511800,3535,2022-04-21 03:30
1650512700,2892,2022-04-21 03:45
1650513600,2652,2022-04-21 04:00
1650514500,2471,2022-04-21 04:15
1650515400,2305,2022-04-21 04:30
1650516300,2473,2022-04-21 04:45
1650517200,2579,2022-04-21 05:00
1650518100,2582,2022-04-21 05:15
1650519000,2632,2022-04-21 05:30
1650519900,2585,2022-04-21 05:45
1650520800,2686,2022-04-21 06:00
1650521700,2610,2022-04-21 06:15
1650522600,2322,2022-04-21 06:30
1650523500,2099,2022-04-21 06:45
1650524400,2455,2022-04-21 07:00
1650525300,2186,2022-04-21 07:15
1650526200,2695,2022-04-21 07:30
1650527100,0,2022-04-21 07:45
1650528000,0,2022-04-21 08:00
1650528900,0,2022-04-21 08:15
1650529800,3514,2022-04-21 08:30
1650530700,3032,2022-04-21 08:45
1650531600,2616,2022-04-21 09:00
1650532500,2484,2022-04-21 09:15
1650533400,2008,2022-04-21 09:30
1650534300,1579,2022-04-21 09:45
1650535200,1115,2022-04-21 10:00
1650536100,1142,2022-04-21 10:15
1650537000,1076,2022-04-21 10:30
1650537900,1316,2022-04-21 10:45
1650538800,1196,2022-04-21 11:00
1650539700,1318,2022-04-21 11:15
1650540600,992,2022-04-21 11:30
1650541500,1338,2022-04-21 11:45
1650542400,1403,2022-04-21 12:00
1650543300,0,2022-04-21 12:15
1650544200,0,2022-04-21 12:30
1650545100,0,2022-04-21 12:45
1650546000,802,2022-04-21 13:00
1650546900,2607,2022-04-21 13:15
1650547800,3189,2022-04-21 13:30
1650548700,2586,2022-04-21 13:45
1650549600,1612,2022-04-21 14:00
1650550500,1270,2022-04-21 14:15
1650551400,1177,2022-04-21 14:30
1650552300,1167,2022-04-21 14:45
1650553200,1141,2022-04-21 15:00
1650554100,1036,2022-04-21 15:15
1650555000,1143,2022-04-21 15:30
1650555900,1021,2022-04-21 15:45
1650556800,1201,2022-04-21 16:00
1650557700,1810,2022-04-21 16:15
1650558600,1894,2022-04-21 16:30
1650559500,1881,2022-04-21 16:45
1650560400,1692,2022-04-21 17:00
1650561300,2008,2022-04-21 17:15
1650562200,2268,2022-04-21 17:30
1650563100,1867,2022-04-21 17:45
1650564000,2031,2022-04-21 18:00
1650564900,1879,2022-04-21 18:15
1650565800,1939,2022-04-21 18:30
1650566700,1580,2022-04-21 18:45
1650567600,1470,2022-04-21 19:00
1650568500,1930,2022-04-21 19:15
1650569400,2097,2022-04-21 19:30
1650570300,1649,2022-04-21 19:45
1650571200,1880,2022-04-21 20:00
1650572100,1969,2022-04-21 20:15
1650573000,1950,2022-04-21 20:30
1650573900,1762,2022-04-21 20:45
1650574800,1755,2022-04-21 21:00
1650575700,1797,2022-04-21 21:15
1650576600,2075,2022-04-21 21:30
1650577500,2191,2022-04-21 21:45
1650578400,2291,2022-04-21 22:00
1650579300,2359,2022-04-21 22:15
1650580200,2062,2022-04-21 22:30
1650581100,2033,2022-04-21 22:45
1650582000,2021,2022-04-21 23:00
1650582900,1966,2022-04-21 23:15
1650583800,2121,2022-04-21 23:30
1650584700,2249,2022-04-21 23:45
1650585600,2150,2022-04-22 00:00
1650586500,1658,2022-04-22 00:15
1650587400,1701,2022-04-22 00:30
1650588300,1123,2022-04-22 00:45
1650589200,1136,2022-04-22 01:00
1650590100,1245,2022-04-22 01:15
1650591000,1191,2022-04-22 01:30
1650591900,1440,2022-04-22 01:45
1650592800,974,2022-04-22 02:00
1650593700,1115,2022-04-22 02:15
1650594600,989,2022-04-22 02:30
1650595500,1123,2022-04-22 02:45
1650596400,1259,2022-04-22 03:00
1650597300,1273,2022-04-22 03:15
1650598200,996,2022-04-22 03:30
1650599100,1293,2022-04-22 03:45
1650600000,1042,2022-04-22 04:00
1650600900,1103,2022-04-22 04:15
1650601800,1352,2022-04-22 04:30
1650602700,1926,2022-04-22 04:45
1650603600,1845,2022-04-22 05:00
1650604500,2177,2022-04-22 05:15
1650605400,2070,2022-04-22 05:30
1650606300,1907,2022-04-22 05:45
1650607200,208,2022-04-22 06:00
1650608100,0,2022-04-22 06:15
1650609000,1824,2022-04-22 06:30
1650609900,1958,2022-04-22 06:45
1650610800,1689,2022-04-22 07:00
1650611700,1313,2022-04-22 07:15
1650612600,221,2022-04-22 07:30
1650613500,0,2022-04-22 07:45
1650614400,0,2022-04-22 08:00
1650615300,413,2022-04-22 08:15
1650616200,2223,2022-04-22 08:30
1650617100,1688,2022-04-22 08:45
1650618000,1558,2022-04-22 09:00
1650618900,2165,2022-04-22 09:15
1650619800,2166,2022-04-22 09:30
1650620700,2213,2022-04-22 09:45
1650621600,2419,2022-04-22 10:00
1650622500,2464,2022-04-22 10:15
1650623400,2480,2022-04-22 10:30
1650624300,2610,2022-04-22 10:45
1650625200,2440,2022-04-22 11:00
1650626100,2587,2022-04-22 11:15
1650627000,2478,2022-04-22 11:30
1650627900,2118,2022-04-22 11:45
1650628800,224,2022-04-22 12:00
1650629700,0,2022-04-22 12:15
1650630600,0,2022-04-22 12:30
1650631500,617,2022-04-22 12:45
1650632400,3442,2022-04-22 13:00
1650633300,2665,2022-04-22 13:15
1650634200,2681,2022-04-22 13:30
1650635100,2422,2022-04-22 13:45
1650636000,2223,2022-04-22 14:00
1650636900,1554,2022-04-22 14:15
1650637800,1194,2022-04-22 14:30
1650638700,1487,2022-04-22 14:45
1650639600,2132,2022-04-22 15:00
1650640500,2342,2022-04-22 15:15
1650641400,2113,2022-04-22 15:30
