Begin,End,wh,L1/kwh,L2/kwh
2023-08-04 09:45,2023-08-04 10:00,4148,0.43876567,0
2023-08-04 10:00,2023-08-04 10:15,4057,0.534877989,0
2023-08-04 10:15,2023-08-04 10:30,4611,0.472782477,0
2023-08-04 10:30,2023-08-04 10:45,4277,0.084171148,0
2023-08-04 10:45,2023-08-04 11:00,4707,0.618228171,0
2023-08-04 11:00,2023-08-04 11:15,4430,0.408577878,0
2023-08-04 11:15,2023-08-04 11:30,4313,0.42198006,0
2023-08-04 11:30,2023-08-04 11:45,4685,0.542155816,0
2023-08-04 11:45,2023-08-04 12:00,4520,0.480088496,0
2023-08-04 12:00,2023-08-04 12:15,4287,0.340564497,0
2023-08-04 12:15,2023-08-04 12:30,3609,0.401773344,0
2023-08-04 12:30,2023-08-04 12:45,2996,0.604138852,0
2023-08-04 12:45,2023-08-04 13:00,2580,1.127906977,0
2023-08-04 13:00,2023-08-04 13:15,2876,0.883171071,0
2023-08-04 13:15,2023-08-04 13:30,2893,0.373314898,0
2023-08-04 13:30,2023-08-04 13:45,2608,0.835889571,0
2023-08-04 13:45,2023-08-04 14:00,2444,0.593289689,0
2023-08-04 14:00,2023-08-04 14:15,2119,0.514393582,0
2023-08-04 14:15,2023-08-04 14:30,2150,1.013953488,0
2023-08-04 14:30,2023-08-04 14:45,2132,1.022514071,0
2023-08-04 14:45,2023-08-04 15:00,1986,0.730110775,0
2023-08-04 15:00,2023-08-04 15:15,2034,0.353982301,0
2023-08-04 15:15,2023-08-04 15:30,2009,0.905923345,0
2023-08-04 15:30,2023-08-04 15:45,1720,1.052325581,0
2023-08-04 15:45,2023-08-04 16:00,1477,0.737982397,0
2023-08-04 16:00,2023-08-04 16:15,1462,1.244870041,0
2023-08-04 16:15,2023-08-04 16:30,1537,0.709173715,0
2023-08-04 16:30,2023-08-04 16:45,1697,0.854449028,0
2023-08-04 16:45,2023-08-04 17:00,1640,1.103658537,0
2023-08-04 17:00,2023-08-04 17:15,1071,1.01774043,0
2023-08-04 17:15,2023-08-04 17:30,131,0,0
2023-08-04 21:30,2023-08-04 21:45,46,0,0
2023-08-04 21:45,2023-08-04 22:00,1237,0,0
2023-08-04 22:00,2023-08-04 22:15,1177,0,0
2023-08-04 22:15,2023-08-04 22:30,1167,0,0
2023-08-04 22:30,2023-08-04 22:45,1165,0,0
2023-08-04 22:45,2023-08-04 23:00,1118,0,0
2023-08-04 23:00,2023-08-04 23:15,1074,0.679702048,0
2023-08-04 23:15,2023-08-04 23:30,993,2.18529708,0
2023-08-04 23:30,2023-08-04 23:45,1075,0.344186047,0
2023-08-05 00:00,2023-08-05 00:15,1041,0.701248799,0
2023-08-05 00:15,2023-08-05 00:30,1021,1.067580803,0
2023-08-05 00:30,2023-08-05 00:45,1040,1.740384615,0
2023-08-05 00:45,2023-08-05 01:00,1082,0.33271719,0
2023-08-05 01:00,2023-08-05 01:15,1036,1.052123552,0
2023-08-05 01:15,2023-08-05 01:30,1009,1.803766105,0
2023-08-05 01:30,2023-08-05 01:45,1042,1.03646833,0
2023-08-05 01:45,2023-08-05 02:00,975,1.497435897,0
2023-08-05 02:00,2023-08-05 02:15,1031,1.047526673,0
