key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749740,2024-02-01T01:09:00:00,2024-02-01T01:10:00:00,1706749740,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749800,2024-02-01T01:10:00:00,2024-02-01T01:11:00:00,1706749800,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749860,2024-02-01T01:11:00:00,2024-02-01T01:12:00:00,1706749860,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749920,2024-02-01T01:12:00:00,2024-02-01T01:13:00:00,1706749920,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706749980,2024-02-01T01:13:00:00,2024-02-01T01:14:00:00,1706749980,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750040,2024-02-01T01:14:00:00,2024-02-01T01:15:00:00,1706750040,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750100,2024-02-01T01:15:00:00,2024-02-01T01:16:00:00,1706750100,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750160,2024-02-01T01:16:00:00,2024-02-01T01:17:00:00,1706750160,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750220,2024-02-01T01:17:00:00,2024-02-01T01:18:00:00,1706750220,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750280,2024-02-01T01:18:00:00,2024-02-01T01:19:00:00,1706750280,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750340,2024-02-01T01:19:00:00,2024-02-01T01:20:00:00,1706750340,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750400,2024-02-01T01:20:00:00,2024-02-01T01:21:00:00,1706750400,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750460,2024-02-01T01:21:00:00,2024-02-01T01:22:00:00,1706750460,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750520,2024-02-01T01:22:00:00,2024-02-01T01:23:00:00,1706750520,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750580,2024-02-01T01:23:00:00,2024-02-01T01:24:00:00,1706750580,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750640,2024-02-01T01:24:00:00,2024-02-01T01:25:00:00,1706750640,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750700,2024-02-01T01:25:00:00,2024-02-01T01:26:00:00,1706750700,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
